id;created_at;updated_at;year;ecoregion;province;location;country;latitude;longitude;even_start;lower_depth;upper_depth;taxa;species;damaged_percentatge;damaged_qualitative;individuals_surveyed;drivers_abiotic;drivers_abiotic_other;drivers_biotic_group;drivers_biotic;drivers_biotic_other;meow_id;protected_area;protected_area_id;status_yr;location_mpa;published;publication_id;contact;comments;public
1;2018-07-06 07:02:20;2018-10-04 13:01:05;1979;Western Mediterranean;Mediterranean Sea;Port-Cros;FR;42.98000;6.39000;Spring;20.00;7.00;Echinoderma;Paracentrotus lividus;74.56;Severe;645;;;;NA;;231;1;86;1963;Port-Cros;1;176;"Full name: 
e-mail: 
web page: ";;0
2;2018-07-06 07:02:23;2018-10-04 13:01:06;1979;Western Mediterranean;Mediterranean Sea;Port-Cros;FR;42.98000;6.39000;Spring;25.00;20.00;Echinoderma;Paracentrotus lividus;44.00;Moderate;292;;;;NA;;231;1;86;1963;Port-Cros;1;160;"Full name: 
e-mail: 
web page: ";;0
3;2018-07-06 07:02:29;2018-10-04 13:01:06;1983;Western Mediterranean;Mediterranean Sea;La Ciotat;FR;43.15000;5.61333;Summer;20.00;20.00;Cnidaria;Corallium rubrum;;;;;;;NA;;231;1;150;2012;Calanques;1;206;"Full name: 
e-mail: 
web page: ";;0
4;2018-07-06 07:02:36;2018-10-04 13:01:06;1983;Western Mediterranean;Mediterranean Sea;La Ciotat;FR;43.15435;5.61333;Summer;20.00;20.00;Cnidaria;Eunicella singularis;;;;;;;NA;;231;1;150;2012;Calanques;1;200;"Full name: 
e-mail: 
web page: ";;0
5;2018-07-06 07:02:36;2018-10-04 13:01:06;1985;Tunisian Plateau/Gulf of Sidra;Mediterranean Sea;Adjim;;33.70000;10.48645;Autumn;40.00;0.00;Porifera;Spongia officinalis;;;;Temperature anomaly;;;;;233;0;;0;;1;222;"Full name: 
e-mail: 
web page: ";;0
6;2018-07-06 07:02:37;2018-10-04 13:01:06;1985;Tunisian Plateau/Gulf of Sidra;Mediterranean Sea;Adjim;;33.92513;10.78000;Autumn;40.00;0.00;Porifera;Hippospongia communis;;;;Temperature anomaly;;;;;233;0;;0;;1;224;"Full name: 
e-mail: 
web page: ";;0
7;2018-07-06 07:02:38;2018-10-01 12:42:47;1986;Western Mediterranean;Mediterranean Sea;Portofino Promontory;IT;44.30000;9.19000;Winter;20.00;20.00;Cnidaria;Eunicella cavolinii;50.00;Moderate;71;;;;NA;;231;1;34;1998;Portofino;1;147;"Full name: 
e-mail: 
web page: ";Monitoring 4 months;0
8;2018-07-06 07:02:38;2018-10-04 13:01:06;1986;Levantine Sea;Mediterranean Sea;Xylofagou (Cyprus) ;;34.58000;33.51000;Spring;40.00;0.00;Porifera;Spongia officinalis ;100.00;Severe;;Temperature anomaly;;;;;226;0;;0;;1;184;"Full name: 
e-mail: 
web page: ";;0
9;2018-07-06 07:02:39;2018-10-04 13:01:06;1986;Levantine Sea;Mediterranean Sea;Xylofagou (Cyprus) ;;34.58000;33.51000;Spring;40.00;0.00;Porifera;Hippospongia communis;100.00;Severe;;Temperature anomaly;;;;;226;0;;0;;1;188;"Full name: 
e-mail: 
web page: ";;0
10;2018-07-06 07:02:39;2018-10-04 13:01:06;1986;Levantine Sea;Mediterranean Sea;Xylofagou (Cyprus) ;;34.58000;33.51000;;40.00;0.00;Porifera;Ircinia spp;;;;Temperature anomaly;;;;;226;0;;0;;1;189;"Full name: 
e-mail: 
web page: ";;0
11;2018-07-06 07:02:40;2018-10-04 13:01:06;1986;Levantine Sea;Mediterranean Sea;Xylofagou (Cyprus) ;;34.58000;33.51000;Spring;40.00;0.00;Porifera;Sarcotragus sp. ;;;;Temperature anomaly;;;;;226;0;;0;;1;190;"Full name: 
e-mail: 
web page: ";;0
12;2018-07-06 07:02:40;2018-10-04 13:01:06;1986;Aegean Sea;Mediterranean Sea;Bodrum (Turkey) ;;37.02000;27.25000;;40.00;0.00;Porifera;Spongia officinalis ;;;;Temperature anomaly;;;;;229;0;;0;;1;191;"Full name: 
e-mail: 
web page: ";;0
13;2018-07-06 07:02:41;2018-10-04 13:01:06;1986;Aegean Sea;Mediterranean Sea;Bodrum (Turkey) ;;37.02000;27.25000;;40.00;0.00;Porifera;Hippospongia communis;;;;Temperature anomaly;;;;;229;0;;0;;1;192;"Full name: 
e-mail: 
web page: ";;0
14;2018-07-06 07:02:42;2018-10-04 13:01:06;1986;Aegean Sea;Mediterranean Sea;Bodrum (Turkey) ;;37.02000;27.25000;;40.00;0.00;Porifera;Sarcotragus spinosulus;100.00;Severe;;Temperature anomaly;;;;;229;0;;0;;1;193;"Full name: 
e-mail: 
web page: ";;0
15;2018-07-06 07:02:42;2018-10-04 13:01:06;1986;Aegean Sea;Mediterranean Sea;Kalymnos (Dodecanese Islands);;36.59000;26.59000;Summer;40.00;0.00;Porifera;Spongia officinalis;;Moderate;;Temperature anomaly;;;;;229;0;;0;;1;90;"Full name: 
e-mail: 
web page: ";Desaparecieron en 3 años. Some signs of recovery after 5 years;0
16;2018-07-06 07:02:43;2018-10-04 13:01:06;1986;Aegean Sea;Mediterranean Sea;Kalymnos (Dodecanese Islands);;36.59000;26.59000;Summer;40.00;0.00;Porifera;Hippospongia communis;;Moderate;;Temperature anomaly;;;;;229;0;;0;;1;90;"Full name: 
e-mail: 
web page: ";Desaparecieron en 3 años. Some signs of recovery after 5 years;0
17;2018-07-06 07:02:43;2018-10-04 13:01:06;1986;Aegean Sea;Mediterranean Sea;Patmos (Dodecanese Islands);;37.18000;26.32000;;40.00;0.00;Porifera;Spongia officinalis ;;Low;;Temperature anomaly;;;;;229;0;;0;;1;91;"Full name: 
e-mail: 
web page: ";;0
